VB,VBD,.,``,POS,'',NNP,RB,PDT,RBS,RBR,FW,IN,UH,JJR,RP,VBN,NN,JJ,CD,,,PRP,WP,WP$,VBG,EX,(,MD,CC,WDT,PRP$,LS,#,DT,NNPS,WRB,JJS,VBP,),VBZ,NNS,TO,$,:,SYM
NN,11,4,0,0,0,0,212,2,0,0,0,9,1,0,0,0,5,5547,219,15,0,3,0,0,33,0,0,0,2,0,0,0,0,0,0,0,0,8,0,5,57,0,0,0,0
JJ,9,2,0,0,0,0,144,29,6,0,0,4,3,0,1,2,58,75,2553,23,0,0,0,0,12,0,0,0,3,0,0,0,0,7,0,0,0,3,0,3,11,1,0,0,0
CD,8,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,3,12,64,1278,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0
,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,924,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBG,6,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,30,60,63,12,0,0,0,0,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0
EX,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WDT,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2
#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DT,0,0,0,0,0,0,2,8,11,0,0,2,11,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3946,0,0,0,0,0,0,0,0,0,0,0
NNPS,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,10,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,9,0,0,0,0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,1,0,0,0,0,0
JJS,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0
VBP,58,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,38,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,590,0,7,3,0,0,0,0
),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0
VBZ,5,10,0,0,3,0,11,0,0,0,0,0,0,0,0,0,1,15,9,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1011,26,0,0,0,0
NNS,2,0,0,0,0,0,149,3,0,0,0,3,0,0,0,0,14,233,35,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,14,0,0,0,0,9,2487,0,0,0,0
TO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,0,0,0
$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0
SYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
